iter	Passed	Remaining
660	25729	13195
661	25767	13156
662	25800	13114
663	25832	13072
664	25867	13030
665	25904	12991
666	25945	12953
667	25980	12912
668	26013	12870
669	26046	12829
670	26081	12788
671	26117	12747
672	26154	12707
673	26189	12667
674	26230	12629
675	26275	12593
676	26312	12554
677	26352	12515
678	26387	12474
679	26425	12435
680	26464	12396
681	26498	12355
682	26536	12316
683	26570	12275
684	26607	12235
685	26644	12196
686	26679	12155
687	26717	12115
688	26757	12077
689	26797	12039
690	26834	11999
691	26872	11960
692	26909	11920
693	26947	11881
694	26988	11843
695	27024	11803
696	27058	11762
697	27097	11724
698	27137	11685
699	27176	11647
700	27209	11605
701	27243	11565
702	27278	11524
703	27314	11484
704	27354	11446
705	27393	11407
706	27428	11367
707	27470	11329
708	27508	11290
709	27544	11250
710	27588	11213
711	27627	11175
712	27663	11135
713	27702	11096
714	27736	11055
715	27770	11015
716	27805	10974
717	27840	10934
718	27876	10894
719	27910	10853
720	27943	10813
721	27978	10773
722	28018	10734
723	28055	10695
724	28088	10654
725	28128	10616
726	28164	10576
727	28200	10536
728	28241	10498
729	28277	10458
730	28313	10419
731	28352	10380
732	28386	10340
733	28427	10302
734	28467	10263
735	28503	10223
736	28543	10185
737	28581	10146
738	28622	10109
739	28660	10069
740	28694	10029
741	28733	9990
742	28772	9952
743	28804	9911
744	28846	9873
745	28883	9834
746	28921	9795
747	28958	9755
748	28997	9717
749	29028	9676
750	29064	9636
751	29100	9596
752	29135	9557
753	29170	9517
754	29211	9479
755	29253	9441
756	29284	9400
757	29319	9360
758	29356	9321
759	29388	9280
760	29422	9240
761	29461	9201
762	29498	9162
763	29533	9122
764	29568	9083
765	29603	9043
766	29643	9005
767	29676	8964
768	29714	8925
769	29753	8887
770	29789	8847
771	29825	8808
772	29856	8767
773	29900	8730
774	29941	8692
775	29976	8653
776	30010	8613
777	30042	8572
778	30078	8533
779	30115	8494
780	30152	8455
781	30187	8415
782	30226	8376
783	30258	8336
784	30298	8298
785	30334	8259
786	30367	8218
787	30399	8178
788	30431	8138
789	30465	8098
790	30499	8058
791	30540	8020
792	30579	7982
793	30614	7942
794	30652	7904
795	30692	7865
796	30731	7827
797	30767	7788
798	30806	7749
799	30841	7710
800	30878	7671
801	30915	7632
802	30955	7594
803	30996	7556
804	31032	7517
805	31065	7477
806	31098	7437
807	31131	7397
808	31163	7357
809	31201	7318
810	31241	7280
811	31278	7241
812	31321	7204
813	31356	7164
814	31391	7125
815	31426	7086
816	31462	7047
817	31499	7008
818	31537	6969
819	31575	6931
820	31612	6892
821	31648	6853
822	31686	6814
823	31724	6776
824	31760	6737
825	31795	6697
826	31829	6658
827	31865	6619
828	31907	6581
829	31955	6545
830	31991	6506
831	32032	6468
832	32067	6428
833	32101	6389
834	32135	6350
835	32171	6311
836	32204	6271
837	32240	6232
838	32274	6193
839	32308	6154
840	32347	6115
841	32380	6076
842	32416	6037
843	32453	5998
844	32487	5959
845	32522	5920
846	32564	5882
847	32608	5844
848	32648	5806
849	32680	5767
850	32717	5728
851	32752	5689
852	32790	5650
853	32829	5612
854	32864	5573
855	32901	5534
856	32941	5496
857	32979	5458
858	33015	5419
859	33054	5381
860	33094	5342
861	33132	5304
862	33166	5265
863	33207	5227
864	33248	5189
865	33285	5150
866	33326	5112
867	33369	5074
868	33402	5035
869	33440	4996
870	33483	4959
871	33523	4920
872	33555	4881
873	33587	4842
874	33626	4803
875	33663	4765
876	33695	4725
877	33731	4687
878	33768	4648
879	33803	4609
880	33848	4572
881	33886	4533
882	33922	4494
883	33959	4456
884	33995	4417
885	34034	4379
886	34071	4340
887	34108	4301
888	34145	4263
889	34185	4225
890	34218	4186
891	34257	4147
892	34292	4109
893	34329	4070
894	34366	4031
895	34407	3993
896	34446	3955
897	34485	3917
898	34525	3878
899	34561	3840
900	34605	3802
901	34638	3763
902	34676	3724
903	34713	3686
904	34752	3648
905	34790	3609
906	34829	3571
907	34860	3532
908	34896	3493
909	34933	3454
910	34969	3416
911	35002	3377
912	35036	3338
913	35071	3299
914	35103	3260
915	35137	3222
916	35177	3184
917	35213	3145
918	35251	3107
919	35287	3068
920	35320	3029
921	35356	2991
922	35391	2952
923	35433	2914
924	35470	2875
925	35506	2837
926	35546	2799
927	35586	2761
928	35626	2722
929	35666	2684
930	35697	2645
931	35732	2607
932	35765	2568
933	35799	2529
934	35834	2491
935	35875	2453
936	35909	2414
937	35948	2376
938	35986	2337
939	36028	2299
940	36066	2261
941	36101	2222
942	36139	2184
943	36176	2146
944	36218	2107
945	36258	2069
946	36292	2031
947	36330	1992
948	36365	1954
949	36400	1915
950	36434	1877
951	36475	1839
952	36508	1800
953	36547	1762
954	36589	1724
955	36627	1685
956	36664	1647
957	36701	1609
958	36738	1570
959	36772	1532
960	36807	1493
961	36842	1455
962	36872	1416
963	36914	1378
964	36949	1340
965	36985	1301
966	37018	1263
967	37049	1224
968	37089	1186
969	37123	1148
970	37157	1109
971	37199	1071
972	37244	1033
973	37280	995
974	37314	956
975	37352	918
976	37387	880
977	37426	841
978	37460	803
979	37496	765
980	37534	726
981	37571	688
982	37606	650
983	37646	612
984	37686	573
985	37726	535
986	37761	497
987	37795	459
988	37831	420
989	37871	382
990	37910	344
991	37946	306
992	37979	267
993	38014	229
994	38051	191
995	38096	152
996	38139	114
997	38178	76
998	38213	38
999	38254	0
